id,category,name,calories,moisture,amino_acid_composition_protein,protein,triacylglycerol,cholesterol,fat,available_carbohydrates,carbohydrates,sodium,potassium,calcium,magnesium,phosphorus,iron,zinc,copper,manganese,iodine,selenium,chromium,molybdenum,vitaminA,vitaminD,vitaminE,vitaminK,vitaminB1,vitaminB2,vitaminB3,vitaminB6,vitaminB12,vitaminB9,vitaminB5,vitaminB7,vitaminC
55,6,アロエ,3.0,99.0,0.0,0.0,0.0,0.0,0.1,0.3,0.7,8.0,43.0,56.0,4.0,2.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,4.0,0.06,0.0,1.0
56,6,さやいんげん,24.0,91.7,1.2,1.8,0.2,0.0,0.2,2.0,5.5,1.0,270.0,53.0,22.0,43.0,0.7,0.3,0.06,0.34,0.0,0.0,0.0,20.0,48.0,0.0,0.2,51.0,0.06,0.1,0.5,0.07,0.0,53.0,0.16,4.2,6.0
57,6,うど,13.0,95.7,0.6,0.6,0.0,0.0,0.0,1.8,3.4,0.0,200.0,6.0,8.0,23.0,0.1,0.1,0.04,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.1,2.0,0.01,0.02,0.5,0.03,0.0,19.0,0.08,0.0,3.0
58,6,やまうど,19.0,93.9,1.0,1.1,0.0,0.0,0.1,2.6,4.3,1.0,270.0,11.0,13.0,31.0,0.3,0.2,0.06,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.2,3.0,0.03,0.02,0.5,0.05,0.0,20.0,0.13,0.0,5.0
59,6,うるい,19.0,92.8,1.5,1.9,0.2,0.0,0.4,1.4,4.0,1.0,390.0,40.0,14.0,52.0,0.5,0.5,0.09,0.79,1.0,1.0,0.0,4.0,160.0,0.0,1.3,160.0,0.09,0.12,0.5,0.1,0.0,120.0,0.31,3.1,50.0
60,6,えだまめ,118.0,72.1,9.8,11.5,5.8,0.0,6.1,6.2,8.9,2.0,490.0,76.0,72.0,170.0,2.5,1.3,0.36,0.74,0.0,0.0,0.0,0.0,24.0,0.0,0.6,33.0,0.24,0.13,1.0,0.08,0.0,260.0,0.45,0.0,15.0
61,6,エンダイブ,14.0,94.6,0.9,1.2,0.1,0.0,0.2,1.1,2.9,35.0,270.0,51.0,19.0,30.0,0.6,0.4,0.05,1.1,0.0,0.0,0.0,0.0,140.0,0.0,0.8,120.0,0.06,0.08,0.3,0.08,0.0,90.0,0.16,0.0,7.0
62,6,トウミョウ,28.0,90.9,2.2,3.8,0.0,0.0,0.4,2.3,4.0,7.0,350.0,34.0,22.0,61.0,1.0,0.4,0.08,1.11,0.0,0.0,0.0,0.0,340.0,0.0,3.3,280.0,0.24,0.27,1.1,0.19,0.0,91.0,0.8,0.0,79.0
63,6,さやえんどう,36.0,89.1,1.8,3.2,0.2,0.0,0.2,5.3,7.0,1.0,160.0,36.0,23.0,61.0,0.8,0.6,0.09,0.39,0.0,0.0,0.0,0.0,48.0,0.0,0.7,40.0,0.14,0.1,0.6,0.06,0.0,56.0,0.47,0.0,44.0
64,6,グリンピース,99.0,72.2,5.9,8.3,0.1,0.0,0.2,12.2,18.5,3.0,340.0,32.0,39.0,80.0,2.2,1.2,0.19,0.68,0.0,0.0,0.0,0.0,36.0,0.0,0.1,31.0,0.29,0.14,2.2,0.09,0.0,70.0,0.54,0.0,16.0
65,6,おおさかしろな,16.0,94.0,1.2,1.6,0.1,0.0,0.3,1.5,3.1,20.0,240.0,140.0,15.0,46.0,1.0,0.5,0.05,0.29,0.0,0.0,0.0,0.0,130.0,0.0,1.9,240.0,0.03,0.09,0.3,0.07,0.0,86.0,0.12,0.0,24.0
66,6,おかひじき,16.0,92.9,0.0,1.2,0.0,0.0,0.1,1.1,3.8,66.0,510.0,150.0,48.0,34.0,0.9,0.6,0.1,0.59,0.0,0.0,0.0,0.0,260.0,0.0,1.0,360.0,0.04,0.1,0.4,0.03,0.0,85.0,0.22,0.0,15.0
67,6,オクラ,26.0,90.2,1.5,2.1,0.1,0.0,0.2,2.2,6.6,4.0,280.0,92.0,51.0,58.0,0.5,0.6,0.13,0.48,0.0,0.0,0.0,6.0,44.0,0.0,1.2,66.0,0.09,0.09,0.8,0.1,0.0,110.0,0.42,6.6,11.0
68,6,かぶ,20.0,92.3,2.0,2.3,0.1,0.0,0.1,1.4,3.9,24.0,330.0,250.0,25.0,42.0,2.1,0.3,0.1,0.64,6.0,3.0,2.0,16.0,230.0,0.0,3.1,340.0,0.08,0.16,0.9,0.16,0.0,110.0,0.36,2.7,82.0
69,6,かぼちゃ,41.0,86.7,1.1,1.6,0.0,0.0,0.1,8.6,10.9,1.0,420.0,20.0,15.0,55.0,0.5,0.3,0.08,0.08,0.0,0.0,0.0,1.0,120.0,0.0,2.2,26.0,0.08,0.05,0.9,0.15,0.0,80.0,0.5,1.9,16.0
70,6,西洋かぼちゃ,78.0,76.2,1.2,1.9,0.2,0.0,0.3,17.6,20.6,1.0,430.0,22.0,25.0,48.0,0.4,0.3,0.07,0.07,0.0,0.0,0.0,5.0,210.0,0.0,3.9,37.0,0.07,0.08,1.4,0.23,0.0,42.0,0.62,1.9,43.0
71,6,そうめんかぼちゃ,25.0,92.4,0.5,0.7,0.1,0.0,0.1,4.9,6.1,1.0,260.0,27.0,16.0,35.0,0.3,0.2,0.05,0.09,0.0,0.0,0.0,0.0,4.0,0.0,0.2,0.0,0.05,0.01,0.5,0.1,0.0,25.0,0.36,0.0,11.0
72,6,からしな,26.0,90.3,2.8,3.3,0.0,0.0,0.1,1.5,4.7,60.0,620.0,140.0,21.0,72.0,2.2,0.9,0.08,1.02,0.0,0.0,0.0,0.0,230.0,0.0,3.0,260.0,0.12,0.27,1.2,0.25,0.0,310.0,0.32,0.0,64.0
73,6,カリフラワー,26.0,91.5,1.9,2.7,0.1,0.0,0.1,2.4,5.1,8.0,220.0,23.0,13.0,37.0,0.7,0.4,0.03,0.17,0.0,0.0,0.0,0.0,1.0,0.0,0.2,31.0,0.05,0.05,0.2,0.13,0.0,88.0,0.84,0.0,53.0
74,6,かんぴょう,239.0,19.8,4.4,6.3,0.0,0.0,0.2,40.0,68.1,3.0,1800.0,250.0,110.0,140.0,2.9,1.8,0.62,1.6,2.0,2.0,5.0,13.0,0.0,0.0,0.4,0.0,0.0,0.04,2.7,0.04,0.0,99.0,1.75,8.0,0.0
75,6,きく,25.0,91.5,1.2,1.4,0.0,0.0,0.0,3.3,6.5,2.0,280.0,22.0,12.0,28.0,0.7,0.3,0.04,0.36,0.0,0.0,0.0,0.0,6.0,0.0,4.6,11.0,0.1,0.11,0.5,0.08,0.0,73.0,0.2,0.0,11.0
76,6,きく　菊のり,283.0,9.5,9.5,11.6,0.0,0.0,0.2,46.0,73.5,14.0,2500.0,160.0,140.0,250.0,11.0,2.2,0.62,1.34,0.0,0.0,0.0,0.0,15.0,0.0,25.0,62.0,0.73,0.89,3.8,0.69,0.0,370.0,1.5,0.0,10.0
77,6,キャベツ,23.0,92.9,0.8,1.2,0.0,0.0,0.1,3.7,5.2,5.0,190.0,42.0,14.0,26.0,0.3,0.1,0.02,0.13,0.0,0.0,0.0,2.0,2.0,0.0,0.1,79.0,0.04,0.03,0.2,0.1,0.0,66.0,0.19,1.5,38.0
78,6,レッドキャベツ,30.0,90.4,1.3,2.0,0.0,0.0,0.1,4.7,6.7,4.0,310.0,40.0,13.0,43.0,0.5,0.3,0.04,0.2,0.0,0.0,0.0,0.0,3.0,0.0,0.1,29.0,0.07,0.03,0.3,0.19,0.0,58.0,0.35,0.0,68.0
79,6,きゅうり,13.0,95.4,0.7,1.0,0.0,0.0,0.1,2.0,3.0,1.0,200.0,26.0,15.0,36.0,0.3,0.2,0.11,0.07,1.0,1.0,1.0,4.0,28.0,0.0,0.3,34.0,0.03,0.03,0.2,0.05,0.0,25.0,0.33,1.4,14.0
80,6,ぎょうじゃにんにく,35.0,88.8,2.4,3.5,0.1,0.0,0.2,4.5,6.6,2.0,340.0,29.0,22.0,30.0,1.4,0.4,0.16,0.0,0.0,0.0,0.0,0.0,170.0,0.0,0.4,320.0,0.1,0.16,0.8,0.15,0.0,85.0,0.39,0.0,59.0
81,6,キンサイ,16.0,93.5,0.9,1.1,0.2,0.0,0.4,1.4,3.5,27.0,360.0,140.0,26.0,56.0,0.5,0.5,0.02,0.52,0.0,0.0,0.0,0.0,150.0,0.0,1.2,180.0,0.05,0.11,0.6,0.08,0.0,47.0,0.35,0.0,15.0
82,6,クレソン,13.0,94.1,1.5,2.1,0.1,0.0,0.1,0.7,2.5,23.0,330.0,110.0,13.0,57.0,1.1,0.2,0.05,0.0,2.0,2.0,1.0,20.0,230.0,0.0,1.6,190.0,0.1,0.2,0.5,0.13,0.0,150.0,0.3,4.0,26.0
83,6,くわい,129.0,65.0,0.0,6.2,0.0,0.0,0.1,24.4,27.2,3.0,550.0,5.0,32.0,140.0,0.8,2.1,0.59,0.12,0.0,0.0,0.0,0.0,0.0,0.0,3.1,1.0,0.1,0.06,1.6,0.3,0.0,120.0,0.75,0.0,0.0
84,6,ケール,26.0,90.2,1.6,2.1,0.1,0.0,0.4,2.7,5.6,9.0,420.0,220.0,44.0,45.0,0.8,0.3,0.05,0.55,1.0,4.0,1.0,38.0,240.0,0.0,2.4,210.0,0.06,0.15,0.9,0.16,0.0,120.0,0.31,4.0,81.0
85,6,コールラビ,21.0,93.2,0.6,1.0,0.0,0.0,0.0,3.6,5.1,7.0,240.0,29.0,15.0,29.0,0.2,0.1,0.02,0.07,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,0.04,0.05,0.2,0.09,0.0,73.0,0.2,0.0,45.0
86,6,こごみ,25.0,90.7,2.2,3.0,0.0,0.0,0.2,0.9,5.3,1.0,350.0,26.0,31.0,69.0,0.6,0.7,0.26,0.33,0.0,0.0,0.0,0.0,100.0,0.0,1.7,120.0,0.0,0.12,2.9,0.03,0.0,150.0,0.6,0.0,27.0
87,6,ごぼう,50.0,83.9,0.9,1.5,0.2,0.0,0.2,8.2,13.7,11.0,210.0,48.0,40.0,46.0,0.7,0.7,0.16,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.03,0.02,0.2,0.09,0.0,61.0,0.19,0.0,1.0
88,6,こまつな,14.0,94.0,1.4,1.6,0.1,0.0,0.1,0.9,3.0,14.0,140.0,150.0,14.0,46.0,2.1,0.3,0.07,0.17,0.0,0.0,0.0,0.0,260.0,0.0,1.5,320.0,0.04,0.06,0.3,0.06,0.0,86.0,0.23,0.0,21.0
89,6,コリアンダー,18.0,92.4,0.0,1.4,0.0,0.0,0.4,0.1,4.6,4.0,590.0,84.0,16.0,59.0,1.4,0.4,0.09,0.39,2.0,0.0,2.0,23.0,150.0,0.0,1.9,190.0,0.09,0.11,1.3,0.11,0.0,69.0,0.52,6.2,40.0
90,6,ザーサイ,20.0,77.6,2.0,2.5,0.0,0.0,0.1,0.5,4.6,5400.0,680.0,140.0,19.0,67.0,2.9,0.4,0.1,0.34,0.0,0.0,0.0,0.0,1.0,0.0,0.2,24.0,0.04,0.07,0.4,0.09,0.0,14.0,0.35,0.0,0.0
91,6,さんとうさい,12.0,94.7,0.8,1.0,0.1,0.0,0.2,0.9,2.7,9.0,360.0,140.0,14.0,27.0,0.7,0.3,0.04,0.16,0.0,0.0,0.0,0.0,96.0,0.0,0.8,100.0,0.03,0.07,0.5,0.08,0.0,130.0,0.17,0.0,35.0
92,6,しかくまめ,19.0,92.8,2.0,2.4,0.0,0.0,0.1,1.0,3.8,1.0,270.0,80.0,38.0,48.0,0.7,0.3,0.09,0.54,0.0,0.0,0.0,0.0,36.0,0.0,0.4,63.0,0.09,0.09,0.8,0.1,0.0,29.0,0.36,0.0,16.0
93,6,ししとう,24.0,91.4,1.3,1.9,0.1,0.0,0.3,2.6,5.7,1.0,340.0,11.0,21.0,34.0,0.5,0.3,0.1,0.18,0.0,4.0,1.0,4.0,44.0,0.0,1.3,51.0,0.07,0.07,1.4,0.39,0.0,33.0,0.35,4.2,57.0
94,6,しそ,32.0,86.7,3.1,3.9,0.0,0.0,0.1,1.0,7.5,1.0,500.0,230.0,70.0,70.0,1.7,1.3,0.2,2.01,6.0,1.0,2.0,30.0,880.0,0.0,3.9,690.0,0.13,0.34,1.0,0.19,0.0,110.0,1.0,5.1,26.0
95,6,しそ,32.0,85.7,2.7,3.4,0.1,0.0,0.1,0.7,8.9,1.0,300.0,100.0,71.0,85.0,1.2,1.0,0.52,1.35,0.0,0.0,0.0,0.0,220.0,0.0,3.8,190.0,0.09,0.16,1.8,0.12,0.0,72.0,0.8,0.0,5.0
